Alter,Einkommen,Preis,Geschlecht,Zeit,KundeNr,Niederlassung
64,66894.0,88160.31,1,43.0,K0310,Bayern
54,77644.0,103145.7,1,40.0,K1042,Berlin
55,44341.0,80565.16,0,37.0,K0382,Baden-Württemberg
49,67271.0,83949.89,0,42.0,K0498,Bayern
46,49832.0,93781.58,0,41.0,K0552,Hessen
59,62970.0,83862.47,1,56.0,K0833,Hessen
36,23660.0,49960.18,1,23.0,K0097,Thüringen
50,62422.0,94530.65,1,38.0,K0290,Thüringen
32,34112.0,62280.35,1,36.0,K0950,Bayern
62,77546.0,124857.23,1,52.0,K0102,Baden-Württemberg
68,77662.0,118227.18,1,54.0,K1098,Thüringen
45,68432.0,82849.76,0,39.0,K0071,Berlin
51,37169.0,57319.84,0,31.0,K1023,Sachsen
65,78613.0,114603.28,1,50.0,K0482,Baden-Württemberg
53,69721.0,98479.34,1,54.0,K0440,Hessen
62,62350.0,84761.44,1,42.0,K0877,Hessen
34,57844.0,62302.49,1,54.0,K0295,Nordrhein-Westfalen
55,44222.0,78218.77,1,37.0,K0329,Bayern
53,74381.0,120881.72,0,57.0,K0433,Nordrhein-Westfalen
57,45095.0,77157.15,0,42.0,K0142,Baden-Württemberg
43,52813.0,67106.32,0,44.0,K0762,Berlin
46,49340.0,69960.66,0,47.0,K0459,Nordrhein-Westfalen
62,89774.0,117051.99,1,72.0,K0865,Sachsen
55,66861.0,97465.12,0,54.0,K1001,Bayern
66,84822.0,118968.62,0,56.0,K0889,Hessen
59,91693.0,121840.18,1,52.0,K0917,Bayern
67,61517.0,80799.11,0,43.0,K0537,Niedersachsen
66,78548.0,121289.35,0,69.0,K0362,Sachsen
40,61386.0,81555.07,0,53.0,K0856,Niedersachsen
41,45016.0,65106.71,0,39.0,K0399,Niedersachsen
30,39302.0,71437.17,1,35.0,K0448,Baden-Württemberg
65,83431.0,119640.51,1,65.0,K0210,Baden-Württemberg
48,46259.0,73400.97,1,29.0,K0502,Baden-Württemberg
53,56160.0,93839.56,1,38.0,K0782,Nordrhein-Westfalen
37,47689.0,73619.96,0,20.0,K0912,Hessen
55,56264.0,83364.29,1,40.0,K0412,Baden-Württemberg
34,27844.0,41694.48,0,36.0,K0690,Bayern
43,72619.0,94619.66,1,56.0,K0698,Berlin
57,51842.0,70527.14,0,51.0,K0045,Sachsen
39,16051.0,24654.09,0,29.0,K0535,Hamburg
55,63325.0,89117.31,0,46.0,K0766,Berlin
58,64638.0,98621.47,1,46.0,K0335,Bayern
44,54514.0,80645.05,1,53.0,K0695,Hessen
39,44538.0,74086.48,0,40.0,K0603,Bayern
65,96471.0,145684.18,1,55.0,K0520,Nordrhein-Westfalen
36,35235.0,67764.25,1,22.0,K0468,Nordrhein-Westfalen
36,41489.0,63321.68,1,47.0,K1047,Baden-Württemberg
70,77553.0,119128.85,1,58.0,K0619,Bayern
62,62829.0,96175.78,1,42.0,K0449,Baden-Württemberg
50,67714.0,90616.13,0,55.0,K0919,Hessen
69,73444.0,115561.62,1,47.0,K0052,Niedersachsen
52,49778.0,72763.75,1,44.0,K0732,Thüringen
46,61088.0,117616.31,1,48.0,K0622,Berlin
40,61057.0,77084.28,0,47.0,K0735,Baden-Württemberg
35,52067.0,67345.58,1,44.0,K0199,Berlin
58,64180.0,98148.01,1,51.0,K0057,Baden-Württemberg
41,39630.0,80659.67,1,41.0,K0507,Bayern
46,67665.0,83620.57,0,50.0,K0299,Berlin
40,43103.0,77219.0,0,33.0,K0531,Berlin
35,39813.0,60757.87,0,31.0,K0998,Niedersachsen
40,45448.0,70066.79,0,40.0,K0193,Baden-Württemberg
61,90246.0,111436.45,0,61.0,K0139,Bayern
65,60323.0,90362.92,1,47.0,K0588,Niedersachsen
57,70535.0,88743.79,1,46.0,K0406,Nordrhein-Westfalen
